movie_title,movie_imdb_link,country,budget,gross,foreign_currency
Tora! Tora! Tora! ,http://www.imdb.com/title/tt0066473/?ref_=fn_tt_tt_1,Japan,budget,gross,foreign_currency
Diamonds Are Forever ,http://www.imdb.com/title/tt0066995/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Live and Let Die ,http://www.imdb.com/title/tt0070328/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
The Man with the Golden Gun ,http://www.imdb.com/title/tt0071807/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Monty Python and the Holy Grail ,http://www.imdb.com/title/tt0071853/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
March or Die ,http://www.imdb.com/title/tt0076175/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
The Spy Who Loved Me ,http://www.imdb.com/title/tt0076752/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Caravans ,http://www.imdb.com/title/tt0077296/?ref_=fn_tt_tt_1,Iran,budget,gross,foreign_currency
Alien ,http://www.imdb.com/title/tt0078748/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Moonraker ,http://www.imdb.com/title/tt0079574/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Raise the Titanic ,http://www.imdb.com/title/tt0081400/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Time Bandits ,http://www.imdb.com/title/tt0081633/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Das Boot ,http://www.imdb.com/title/tt0082096/?ref_=fn_tt_tt_1,West Germany,budget,gross,foreign_currency
Chariots of Fire ,http://www.imdb.com/title/tt0082158/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
The Beyond ,http://www.imdb.com/title/tt0082307/?ref_=fn_tt_tt_1,Italy,budget,gross,foreign_currency
Escape from New York ,http://www.imdb.com/title/tt0082340/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
For Your Eyes Only ,http://www.imdb.com/title/tt0082398/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Mad Max 2: The Road Warrior ,http://www.imdb.com/title/tt0082694/?ref_=fn_tt_tt_1,Australia,budget,gross,foreign_currency
Porky's ,http://www.imdb.com/title/tt0084522/?ref_=fn_tt_tt_1,Canada,budget,gross,foreign_currency
Never Say Never Again ,http://www.imdb.com/title/tt0086006/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Octopussy ,http://www.imdb.com/title/tt0086034/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Superman III ,http://www.imdb.com/title/tt0086393/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Yentl ,http://www.imdb.com/title/tt0086619/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
The Bounty ,http://www.imdb.com/title/tt0086993/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
The Hotel New Hampshire ,http://www.imdb.com/title/tt0087428/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Once Upon a Time in America ,http://www.imdb.com/title/tt0087843/?ref_=fn_tt_tt_1,Italy,budget,gross,foreign_currency
A Passage to India ,http://www.imdb.com/title/tt0087892/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
The Terminator ,http://www.imdb.com/title/tt0088247/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Brazil ,http://www.imdb.com/title/tt0088846/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Mad Max Beyond Thunderdome ,http://www.imdb.com/title/tt0089530/?ref_=fn_tt_tt_1,Australia,budget,gross,foreign_currency
A View to a Kill ,http://www.imdb.com/title/tt0090264/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Witchboard ,http://www.imdb.com/title/tt0090327/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Crocodile Dundee ,http://www.imdb.com/title/tt0090555/?ref_=fn_tt_tt_1,Australia,budget,gross,foreign_currency
Highlander ,http://www.imdb.com/title/tt0091203/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Platoon ,http://www.imdb.com/title/tt0091763/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
A Room with a View ,http://www.imdb.com/title/tt0091867/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Shanghai Surprise ,http://www.imdb.com/title/tt0091934/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Crocodile Dundee II ,http://www.imdb.com/title/tt0092493/?ref_=fn_tt_tt_1,Australia,budget,gross,foreign_currency
Cry Freedom ,http://www.imdb.com/title/tt0092804/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Hellraiser ,http://www.imdb.com/title/tt0093177/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
The Last Emperor ,http://www.imdb.com/title/tt0093389/?ref_=fn_tt_tt_1,China,budget,gross,foreign_currency
The Living Daylights ,http://www.imdb.com/title/tt0093428/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Maurice ,http://www.imdb.com/title/tt0093512/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Superman IV: The Quest for Peace ,http://www.imdb.com/title/tt0094074/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Akira ,http://www.imdb.com/title/tt0094625/?ref_=fn_tt_tt_1,Japan,budget,gross,foreign_currency
The Blood of Heroes ,http://www.imdb.com/title/tt0094764/?ref_=fn_tt_tt_1,Australia,budget,gross,foreign_currency
Henry V ,http://www.imdb.com/title/tt0097499/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Licence to Kill ,http://www.imdb.com/title/tt0097742/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Two Evil Eyes ,http://www.imdb.com/title/tt0100827/?ref_=fn_tt_tt_1,Italy,budget,gross,foreign_currency
JFK ,http://www.imdb.com/title/tt0102138/?ref_=fn_tt_tt_1,France,budget,gross,foreign_currency
Quigley Down Under ,http://www.imdb.com/title/tt0102744/?ref_=fn_tt_tt_1,Australia,budget,gross,foreign_currency
The Crying Game ,http://www.imdb.com/title/tt0104036/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
The Lawnmower Man ,http://www.imdb.com/title/tt0104692/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Split Second ,http://www.imdb.com/title/tt0105459/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Fortress ,http://www.imdb.com/title/tt0106950/?ref_=fn_tt_tt_1,Australia,budget,gross,foreign_currency
Much Ado About Nothing ,http://www.imdb.com/title/tt0107616/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
The Piano ,http://www.imdb.com/title/tt0107822/?ref_=fn_tt_tt_1,New Zealand,budget,gross,foreign_currency
The Remains of the Day ,http://www.imdb.com/title/tt0107943/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Romeo Is Bleeding ,http://www.imdb.com/title/tt0107983/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Shadowlands ,http://www.imdb.com/title/tt0108101/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Super Mario Bros. ,http://www.imdb.com/title/tt0108255/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Les visiteurs ,http://www.imdb.com/title/tt0108500/?ref_=fn_tt_tt_1,France,budget,gross,foreign_currency
Exotica ,http://www.imdb.com/title/tt0109759/?ref_=fn_tt_tt_1,Canada,budget,gross,foreign_currency
Four Weddings and a Funeral ,http://www.imdb.com/title/tt0109831/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Heavenly Creatures ,http://www.imdb.com/title/tt0110005/?ref_=fn_tt_tt_1,New Zealand,budget,gross,foreign_currency
Highlander: The Final Dimension ,http://www.imdb.com/title/tt0110027/?ref_=fn_tt_tt_1,Canada,budget,gross,foreign_currency
The Hudsucker Proxy ,http://www.imdb.com/title/tt0110074/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Killing Zoe ,http://www.imdb.com/title/tt0110265/?ref_=fn_tt_tt_1,France,budget,gross,foreign_currency
The Specialist ,http://www.imdb.com/title/tt0111255/?ref_=fn_tt_tt_1,Peru,budget,gross,foreign_currency
Street Fighter ,http://www.imdb.com/title/tt0111301/?ref_=fn_tt_tt_1,Japan,budget,gross,foreign_currency
Timecop ,http://www.imdb.com/title/tt0111438/?ref_=fn_tt_tt_1,Canada,budget,gross,foreign_currency
The Legend of Drunken Master ,http://www.imdb.com/title/tt0111512/?ref_=fn_tt_tt_1,Hong Kong,budget,gross,foreign_currency
The Princess and the Cobbler ,http://www.imdb.com/title/tt0112389/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Assassins ,http://www.imdb.com/title/tt0112401/?ref_=fn_tt_tt_1,France,budget,gross,foreign_currency
Babe ,http://www.imdb.com/title/tt0112431/?ref_=fn_tt_tt_1,Australia,budget,gross,foreign_currency
Dead Man Walking ,http://www.imdb.com/title/tt0112818/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
GoldenEye ,http://www.imdb.com/title/tt0113189/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Rumble in the Bronx ,http://www.imdb.com/title/tt0113326/?ref_=fn_tt_tt_1,Hong Kong,budget,gross,foreign_currency
Jefferson in Paris ,http://www.imdb.com/title/tt0113463/?ref_=fn_tt_tt_1,France,budget,gross,foreign_currency
The Quick and the Dead ,http://www.imdb.com/title/tt0114214/?ref_=fn_tt_tt_1,Japan,budget,gross,foreign_currency
Richard III ,http://www.imdb.com/title/tt0114279/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Showgirls ,http://www.imdb.com/title/tt0114436/?ref_=fn_tt_tt_1,France,budget,gross,foreign_currency
The Adventures of Pinocchio ,http://www.imdb.com/title/tt0115472/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
When the Cat's Away ,http://www.imdb.com/title/tt0115856/?ref_=fn_tt_tt_1,France,budget,gross,foreign_currency
Hamlet ,http://www.imdb.com/title/tt0116477/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Kansas City ,http://www.imdb.com/title/tt0116745/?ref_=fn_tt_tt_1,France,budget,gross,foreign_currency
Michael Collins ,http://www.imdb.com/title/tt0117039/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
The Phantom ,http://www.imdb.com/title/tt0117331/?ref_=fn_tt_tt_1,Australia,budget,gross,foreign_currency
Shine ,http://www.imdb.com/title/tt0117631/?ref_=fn_tt_tt_1,Australia,budget,gross,foreign_currency
Trainspotting ,http://www.imdb.com/title/tt0117951/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Walking and Talking ,http://www.imdb.com/title/tt0118113/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
The Borrowers ,http://www.imdb.com/title/tt0118755/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Children of Heaven ,http://www.imdb.com/title/tt0118849/?ref_=fn_tt_tt_1,Iran,budget,gross,foreign_currency
Clay Pigeons ,http://www.imdb.com/title/tt0118863/?ref_=fn_tt_tt_1,Germany,budget,gross,foreign_currency
Critical Care ,http://www.imdb.com/title/tt0118901/?ref_=fn_tt_tt_1,Australia,budget,gross,foreign_currency
Dark City ,http://www.imdb.com/title/tt0118929/?ref_=fn_tt_tt_1,Australia,budget,gross,foreign_currency
Event Horizon ,http://www.imdb.com/title/tt0119081/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
The Fifth Element ,http://www.imdb.com/title/tt0119116/?ref_=fn_tt_tt_1,France,budget,gross,foreign_currency
The Full Monty ,http://www.imdb.com/title/tt0119164/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
In the Company of Men ,http://www.imdb.com/title/tt0119361/?ref_=fn_tt_tt_1,Canada,budget,gross,foreign_currency
Character ,http://www.imdb.com/title/tt0119448/?ref_=fn_tt_tt_1,Netherlands,budget,gross,foreign_currency
Princess Mononoke ,http://www.imdb.com/title/tt0119698/?ref_=fn_tt_tt_1,Japan,budget,gross,foreign_currency
Primary Colors ,http://www.imdb.com/title/tt0119942/?ref_=fn_tt_tt_1,France,budget,gross,foreign_currency
The Relic ,http://www.imdb.com/title/tt0120004/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Shooting Fish ,http://www.imdb.com/title/tt0120122/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Sliding Doors ,http://www.imdb.com/title/tt0120148/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Smilla's Sense of Snow ,http://www.imdb.com/title/tt0120152/?ref_=fn_tt_tt_1,Denmark,budget,gross,foreign_currency
Soldier ,http://www.imdb.com/title/tt0120157/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Spice World ,http://www.imdb.com/title/tt0120185/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
The Sweet Hereafter ,http://www.imdb.com/title/tt0120255/?ref_=fn_tt_tt_1,Canada,budget,gross,foreign_currency
Tango ,http://www.imdb.com/title/tt0120274/?ref_=fn_tt_tt_1,Spain,budget,gross,foreign_currency
Smoke Signals ,http://www.imdb.com/title/tt0120321/?ref_=fn_tt_tt_1,Canada,budget,gross,foreign_currency
A Simple Plan ,http://www.imdb.com/title/tt0120324/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Tomorrow Never Dies ,http://www.imdb.com/title/tt0120347/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Babe: Pig in the City ,http://www.imdb.com/title/tt0120595/?ref_=fn_tt_tt_1,Australia,budget,gross,foreign_currency
Barney's Great Adventure ,http://www.imdb.com/title/tt0120598/?ref_=fn_tt_tt_1,Canada,budget,gross,foreign_currency
Chicken Run ,http://www.imdb.com/title/tt0120630/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
City of Angels ,http://www.imdb.com/title/tt0120632/?ref_=fn_tt_tt_1,Germany,budget,gross,foreign_currency
Dirty Work ,http://www.imdb.com/title/tt0120654/?ref_=fn_tt_tt_1,Canada,budget,gross,foreign_currency
Eye of the Beholder ,http://www.imdb.com/title/tt0120662/?ref_=fn_tt_tt_1,Canada,budget,gross,foreign_currency
Eyes Wide Shut ,http://www.imdb.com/title/tt0120663/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Jakob the Liar ,http://www.imdb.com/title/tt0120716/?ref_=fn_tt_tt_1,France,budget,gross,foreign_currency
Knock Off ,http://www.imdb.com/title/tt0120724/?ref_=fn_tt_tt_1,Aruba,budget,gross,foreign_currency
Lock Stock and Two Smoking Barrels,http://www.imdb.com/title/tt0120735/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
The Lord of the Rings: The Fellowship of the Ring ,http://www.imdb.com/title/tt0120737/?ref_=fn_tt_tt_1,New Zealand,budget,gross,foreign_currency
The Negotiator ,http://www.imdb.com/title/tt0120768/?ref_=fn_tt_tt_1,Germany,budget,gross,foreign_currency
One Man's Hero ,http://www.imdb.com/title/tt0120775/?ref_=fn_tt_tt_1,Spain,budget,gross,foreign_currency
The Red Violin ,http://www.imdb.com/title/tt0120802/?ref_=fn_tt_tt_1,Canada,budget,gross,foreign_currency
Resident Evil ,http://www.imdb.com/title/tt0120804/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Tea with Mussolini ,http://www.imdb.com/title/tt0120857/?ref_=fn_tt_tt_1,Italy,budget,gross,foreign_currency
eXistenZ ,http://www.imdb.com/title/tt0120907/?ref_=fn_tt_tt_1,Canada,budget,gross,foreign_currency
An Ideal Husband ,http://www.imdb.com/title/tt0122541/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Ronin ,http://www.imdb.com/title/tt0122690/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Cube ,http://www.imdb.com/title/tt0123755/?ref_=fn_tt_tt_1,Canada,budget,gross,foreign_currency
Notting Hill ,http://www.imdb.com/title/tt0125439/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Man on the Moon ,http://www.imdb.com/title/tt0125664/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Elizabeth ,http://www.imdb.com/title/tt0127536/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Ravenous ,http://www.imdb.com/title/tt0129332/?ref_=fn_tt_tt_1,Czech Republic,budget,gross,foreign_currency
Mickey Blue Eyes ,http://www.imdb.com/title/tt0130121/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Run Lola Run ,http://www.imdb.com/title/tt0130827/?ref_=fn_tt_tt_1,Germany,budget,gross,foreign_currency
8MM ,http://www.imdb.com/title/tt0134273/?ref_=fn_tt_tt_1,Germany,budget,gross,foreign_currency
Mystery Alaska,http://www.imdb.com/title/tt0134618/?ref_=fn_tt_tt_1,Canada,budget,gross,foreign_currency
Disturbing Behavior ,http://www.imdb.com/title/tt0134619/?ref_=fn_tt_tt_1,Australia,budget,gross,foreign_currency
The Thirteenth Floor ,http://www.imdb.com/title/tt0139809/?ref_=fn_tt_tt_1,Germany,budget,gross,foreign_currency
Central Station ,http://www.imdb.com/title/tt0140888/?ref_=fn_tt_tt_1,Brazil,budget,gross,foreign_currency
U-571 ,http://www.imdb.com/title/tt0141926/?ref_=fn_tt_tt_1,France,budget,gross,foreign_currency
The Ninth Gate ,http://www.imdb.com/title/tt0142688/?ref_=fn_tt_tt_1,Spain,budget,gross,foreign_currency
The World Is Not Enough ,http://www.imdb.com/title/tt0143145/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Bride of Chucky ,http://www.imdb.com/title/tt0144120/?ref_=fn_tt_tt_1,Canada,budget,gross,foreign_currency
Dick ,http://www.imdb.com/title/tt0144168/?ref_=fn_tt_tt_1,France,budget,gross,foreign_currency
Three to Tango ,http://www.imdb.com/title/tt0144640/?ref_=fn_tt_tt_1,Australia,budget,gross,foreign_currency
Simply Irresistible ,http://www.imdb.com/title/tt0145893/?ref_=fn_tt_tt_1,Germany,budget,gross,foreign_currency
High Fidelity ,http://www.imdb.com/title/tt0146882/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
The Messenger: The Story of Joan of Arc ,http://www.imdb.com/title/tt0151137/?ref_=fn_tt_tt_1,France,budget,gross,foreign_currency
Topsy-Turvy ,http://www.imdb.com/title/tt0151568/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
The Celebration ,http://www.imdb.com/title/tt0154420/?ref_=fn_tt_tt_1,Denmark,budget,gross,foreign_currency
The Big Tease ,http://www.imdb.com/title/tt0156639/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Drop Dead Gorgeous ,http://www.imdb.com/title/tt0157503/?ref_=fn_tt_tt_1,Germany,budget,gross,foreign_currency
Deterrence ,http://www.imdb.com/title/tt0158583/?ref_=fn_tt_tt_1,France,budget,gross,foreign_currency
Nowhere in Africa ,http://www.imdb.com/title/tt0161860/?ref_=fn_tt_tt_1,Germany,budget,gross,foreign_currency
Shaft ,http://www.imdb.com/title/tt0162650/?ref_=fn_tt_tt_1,Germany,budget,gross,foreign_currency
Hanging Up ,http://www.imdb.com/title/tt0162983/?ref_=fn_tt_tt_1,Germany,budget,gross,foreign_currency
Stuart Little ,http://www.imdb.com/title/tt0164912/?ref_=fn_tt_tt_1,Germany,budget,gross,foreign_currency
East Is East ,http://www.imdb.com/title/tt0166175/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Waking Ned Devine ,http://www.imdb.com/title/tt0166396/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
The Straight Story ,http://www.imdb.com/title/tt0166896/?ref_=fn_tt_tt_1,France,budget,gross,foreign_currency
Mulholland Drive ,http://www.imdb.com/title/tt0166924/?ref_=fn_tt_tt_1,France,budget,gross,foreign_currency
Thunderbirds ,http://www.imdb.com/title/tt0167456/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Dancer in the Dark ,http://www.imdb.com/title/tt0168629/?ref_=fn_tt_tt_1,Denmark,budget,gross,foreign_currency
Nurse Betty ,http://www.imdb.com/title/tt0171580/?ref_=fn_tt_tt_1,Germany,budget,gross,foreign_currency
The End of the Affair ,http://www.imdb.com/title/tt0172396/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Cecil B. DeMented ,http://www.imdb.com/title/tt0173716/?ref_=fn_tt_tt_1,France,budget,gross,foreign_currency
La otra conquista ,http://www.imdb.com/title/tt0175996/?ref_=fn_tt_tt_1,Mexico,budget,gross,foreign_currency
Quills ,http://www.imdb.com/title/tt0180073/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Anatomy ,http://www.imdb.com/title/tt0187696/?ref_=fn_tt_tt_1,Germany,budget,gross,foreign_currency
Birthday Girl ,http://www.imdb.com/title/tt0188453/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Godzilla 2000 ,http://www.imdb.com/title/tt0188640/?ref_=fn_tt_tt_1,Japan,budget,gross,foreign_currency
Human Traffic ,http://www.imdb.com/title/tt0188674/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Just Visiting ,http://www.imdb.com/title/tt0189192/?ref_=fn_tt_tt_1,France,budget,gross,foreign_currency
Shadow of the Vampire ,http://www.imdb.com/title/tt0189998/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Crouching Tiger Hidden Dragon,http://www.imdb.com/title/tt0190332/?ref_=fn_tt_tt_1,Taiwan,budget,gross,foreign_currency
O Brother Where Art Thou?,http://www.imdb.com/title/tt0190590/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
