movie_title,movie_imdb_link,country
The Untouchables ,http://www.imdb.com/title/tt0094226/?ref_=fn_tt_tt_1,USA
Wall Street ,http://www.imdb.com/title/tt0094291/?ref_=fn_tt_tt_1,USA
Action Jackson ,http://www.imdb.com/title/tt0094612/?ref_=fn_tt_tt_1,USA
Akira ,http://www.imdb.com/title/tt0094625/?ref_=fn_tt_tt_1,Japan
Beetlejuice ,http://www.imdb.com/title/tt0094721/?ref_=fn_tt_tt_1,USA
Big ,http://www.imdb.com/title/tt0094737/?ref_=fn_tt_tt_1,USA
The Blood of Heroes ,http://www.imdb.com/title/tt0094764/?ref_=fn_tt_tt_1,Australia
Bright Lights Big City,http://www.imdb.com/title/tt0094799/?ref_=fn_tt_tt_1,USA
Child's Play ,http://www.imdb.com/title/tt0094862/?ref_=fn_tt_tt_1,USA
Dangerous Liaisons ,http://www.imdb.com/title/tt0094947/?ref_=fn_tt_tt_1,USA
Die Hard ,http://www.imdb.com/title/tt0095016/?ref_=fn_tt_tt_1,USA
Friday the 13th Part VII: The New Blood ,http://www.imdb.com/title/tt0095179/?ref_=fn_tt_tt_1,USA
Halloween 4: The Return of Michael Myers ,http://www.imdb.com/title/tt0095271/?ref_=fn_tt_tt_1,USA
Lady in White ,http://www.imdb.com/title/tt0095484/?ref_=fn_tt_tt_1,USA
The Land Before Time ,http://www.imdb.com/title/tt0095489/?ref_=fn_tt_tt_1,USA
The Last Temptation of Christ ,http://www.imdb.com/title/tt0095497/?ref_=fn_tt_tt_1,USA
Midnight Run ,http://www.imdb.com/title/tt0095631/?ref_=fn_tt_tt_1,USA
My Stepmother Is an Alien ,http://www.imdb.com/title/tt0095687/?ref_=fn_tt_tt_1,USA
Mystic Pizza ,http://www.imdb.com/title/tt0095690/?ref_=fn_tt_tt_1,USA
A Nightmare on Elm Street 4: The Dream Master ,http://www.imdb.com/title/tt0095742/?ref_=fn_tt_tt_1,USA
Phantasm II ,http://www.imdb.com/title/tt0095863/?ref_=fn_tt_tt_1,USA
Poltergeist III ,http://www.imdb.com/title/tt0095889/?ref_=fn_tt_tt_1,USA
Prison ,http://www.imdb.com/title/tt0095904/?ref_=fn_tt_tt_1,USA
Rain Man ,http://www.imdb.com/title/tt0095953/?ref_=fn_tt_tt_1,USA
Rambo III ,http://www.imdb.com/title/tt0095956/?ref_=fn_tt_tt_1,USA
School Daze ,http://www.imdb.com/title/tt0096054/?ref_=fn_tt_tt_1,USA
Scrooged ,http://www.imdb.com/title/tt0096061/?ref_=fn_tt_tt_1,USA
Talk Radio ,http://www.imdb.com/title/tt0096219/?ref_=fn_tt_tt_1,USA
They Live ,http://www.imdb.com/title/tt0096256/?ref_=fn_tt_tt_1,USA
Twins ,http://www.imdb.com/title/tt0096320/?ref_=fn_tt_tt_1,USA
Young Guns ,http://www.imdb.com/title/tt0096487/?ref_=fn_tt_tt_1,USA
The Abyss ,http://www.imdb.com/title/tt0096754/?ref_=fn_tt_tt_1,USA
Back to the Future Part II ,http://www.imdb.com/title/tt0096874/?ref_=fn_tt_tt_1,USA
Batman ,http://www.imdb.com/title/tt0096895/?ref_=fn_tt_tt_1,USA
Bill & Ted's Excellent Adventure ,http://www.imdb.com/title/tt0096928/?ref_=fn_tt_tt_1,USA
Black Rain ,http://www.imdb.com/title/tt0096933/?ref_=fn_tt_tt_1,USA
Born on the Fourth of July ,http://www.imdb.com/title/tt0096969/?ref_=fn_tt_tt_1,USA
Dead Poets Society ,http://www.imdb.com/title/tt0097165/?ref_=fn_tt_tt_1,USA
Do the Right Thing ,http://www.imdb.com/title/tt0097216/?ref_=fn_tt_tt_1,USA
Driving Miss Daisy ,http://www.imdb.com/title/tt0097239/?ref_=fn_tt_tt_1,USA
Friday the 13th Part VIII: Jason Takes Manhattan ,http://www.imdb.com/title/tt0097388/?ref_=fn_tt_tt_1,USA
Glory ,http://www.imdb.com/title/tt0097441/?ref_=fn_tt_tt_1,USA
Halloween 5 ,http://www.imdb.com/title/tt0097474/?ref_=fn_tt_tt_1,USA
Henry V ,http://www.imdb.com/title/tt0097499/?ref_=fn_tt_tt_1,UK
Indiana Jones and the Last Crusade ,http://www.imdb.com/title/tt0097576/?ref_=fn_tt_tt_1,USA
Licence to Kill ,http://www.imdb.com/title/tt0097742/?ref_=fn_tt_tt_1,UK
Major League ,http://www.imdb.com/title/tt0097815/?ref_=fn_tt_tt_1,USA
New York Stories ,http://www.imdb.com/title/tt0097965/?ref_=fn_tt_tt_1,USA
A Nightmare on Elm Street 5: The Dream Child ,http://www.imdb.com/title/tt0097981/?ref_=fn_tt_tt_1,USA
Pet Sematary ,http://www.imdb.com/title/tt0098084/?ref_=fn_tt_tt_1,USA
Road House ,http://www.imdb.com/title/tt0098206/?ref_=fn_tt_tt_1,USA
Roger & Me ,http://www.imdb.com/title/tt0098213/?ref_=fn_tt_tt_1,USA
Sea of Love ,http://www.imdb.com/title/tt0098273/?ref_=fn_tt_tt_1,USA
Star Trek V: The Final Frontier ,http://www.imdb.com/title/tt0098382/?ref_=fn_tt_tt_1,USA
Tango & Cash ,http://www.imdb.com/title/tt0098439/?ref_=fn_tt_tt_1,USA
The Toxic Avenger Part II ,http://www.imdb.com/title/tt0098503/?ref_=fn_tt_tt_1,USA
Troop Beverly Hills ,http://www.imdb.com/title/tt0098519/?ref_=fn_tt_tt_1,USA
UHF ,http://www.imdb.com/title/tt0098546/?ref_=fn_tt_tt_1,USA
Warlock ,http://www.imdb.com/title/tt0098622/?ref_=fn_tt_tt_1,USA
